collection,publication,year,issue_or_edition,filename,source_url,notes
Burlington Section GMC,RidgeLines,1971,RidgeLines May 1971,RidgeLines_May_1971.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-1-no-1.pdf,
Burlington Section GMC,RidgeLines,1971,RidgeLines September 1971,RidgeLines_September_1971.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-1-no-2.pdf,
Burlington Section GMC,RidgeLines,1972,RidgeLines January 1972,RidgeLines_January_1972.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-1-no-3.pdf,
Burlington Section GMC,RidgeLines,1972,RidgeLines May 1972,RidgeLines_May_1972.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-2-no-1.pdf,
Burlington Section GMC,RidgeLines,1972,RidgeLines October 1972,RidgeLines_October_1972.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-2-no-2.pdf,
Burlington Section GMC,RidgeLines,1973,RidgeLines January 1973,RidgeLines_January_1973.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-2-no-3.pdf,
Burlington Section GMC,RidgeLines,1973,RidgeLines March 1973,RidgeLines_March_1973.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-2-no-4.pdf,
Burlington Section GMC,RidgeLines,1973,RidgeLines May 1973,RidgeLines_May_1973.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-3-no-1.pdf,
Burlington Section GMC,RidgeLines,1973,RidgeLines October 1973,RidgeLines_October_1973.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-3-no-2.pdf,
Burlington Section GMC,RidgeLines,1973,RidgeLines December 1973,RidgeLines_December_1973.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-3-no-3.pdf,
Burlington Section GMC,RidgeLines,1974,RidgeLines March 1974,RidgeLines_March_1974.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-3-no-4.pdf,
Burlington Section GMC,RidgeLines,1974,RidgeLines June 1974,RidgeLines_June_1974.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-4-no-1.pdf,
Burlington Section GMC,RidgeLines,1974,RidgeLines October 1974,RidgeLines_October_1974.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-4-no-2.pdf,
Burlington Section GMC,RidgeLines,1975,RidgeLines January 1975,RidgeLines_January_1975.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-4-no-3.pdf,
Burlington Section GMC,RidgeLines,1975,RidgeLines March 1975,RidgeLines_March_1975.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-4-no-4.pdf,
Burlington Section GMC,RidgeLines,1975,RidgeLines July 1975,RidgeLines_July_1975.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-5-no-1.pdf,
Burlington Section GMC,RidgeLines,1975,RidgeLines October 1975,RidgeLines_October_1975.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-5-no-2.pdf,
Burlington Section GMC,RidgeLines,1976,RidgeLines January 1976,RidgeLines_January_1976.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-5-no-3.pdf,
Burlington Section GMC,RidgeLines,1976,RidgeLines March 1976,RidgeLines_March_1976.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-5-no-4.pdf,
Burlington Section GMC,RidgeLines,1976,RidgeLines May 1976,RidgeLines_May_1976.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-6-no-1.pdf,
Burlington Section GMC,RidgeLines,1976,RidgeLines October 1976,RidgeLines_October_1976.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-6-no-2.pdf,
Burlington Section GMC,RidgeLines,1977,RidgeLines January 1977,RidgeLines_January_1977.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-6-no-3.pdf,
Burlington Section GMC,RidgeLines,1977,RidgeLines March 1977,RidgeLines_March_1977.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-6-no-4.pdf,
Burlington Section GMC,RidgeLines,1977,RidgeLines June 1977,RidgeLines_June_1977.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-7-no-1.pdf,
Burlington Section GMC,RidgeLines,1977,RidgeLines October 1977,RidgeLines_October_1977.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-7-no-2.pdf,
Burlington Section GMC,RidgeLines,1978,RidgeLines January 1978,RidgeLines_January_1978.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-7-no-3.pdf,
Burlington Section GMC,RidgeLines,1978,RidgeLines March 1978,RidgeLines_March_1978.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-7-no-4.pdf,
Burlington Section GMC,RidgeLines,1978,RidgeLines June 1978,RidgeLines_June_1978.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-8-no-1.pdf,
Burlington Section GMC,RidgeLines,1978,RidgeLines Deptember 1978,RidgeLines_Deptember_1978.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-8-no-2.pdf,
